time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR
1.0	9.0	0.0	2.5	0.0	0.0	0.6875	0.0	NaN	0.0	1.200000000000001
1.0	16.0	0.0	10.0	0.0	0.0	3.0	0.0	NaN	0.0	1.1999999999999957
2.0	9.0	0.0	2.5	0.0	0.0	0.6823820580510419	0.0	NaN	0.0	1.200000000000001
2.0	16.0	0.0	10.0	0.0	0.0	2.94386145961536	0.0	NaN	0.0	1.1999999999999957
3.0	9.0	2.3155177569799684E-4	2.5	0.0	0.0	0.6554636496502033	0.0	0.0	0.004631035513959937	1.200000000000001
3.0	16.0	0.014466759747911678	10.0	0.0	0.0	2.1582071213336165	0.0	0.0	0.28933519495823357	1.1999999999999957
4.0	9.0	0.0010188343972348662	2.5	3.0365304198616446E-5	152.9217257465971	0.6004469883900948	0.0	0.0	0.020376687944697325	1.2005328226747092
4.0	16.0	0.021160083537043815	10.0	0.001999354484660886	13495.29323092524	2.1606523049298887	0.0	0.0	0.4232016707408763	0.6498692286694988
5.0	9.0	0.0021648679672891143	2.5	1.471121778442173E-4	633.0734231174544	0.5403297943235008	0.0	0.0	0.043297359345782285	1.1536524312182896
5.0	16.0	0.02387671623449725	10.0	0.0030639454509322913	15112.274211479264	2.4095477149581823	0.0	0.0	0.477534324689945	0.7287975497675367
6.0	9.0	0.003355169445212574	2.5	2.379049155682889E-4	1094.7262627907621	0.49943716764967244	0.0	0.0	0.06710338890425148	1.1597866044897602
6.0	16.0	0.026996726659732684	10.0	0.0038757781103830424	17554.169123001568	2.6992599970499898	0.0	0.0	0.5399345331946537	0.78073349488227
7.0	9.0	0.00418951721164281	2.5	3.824856145782184E-4	1656.6931360252916	0.4988289664674058	0.0	0.0	0.08379034423285621	1.093242602190984
7.0	16.0	0.030895288081344858	10.0	0.004709461633921968	21119.240685197674	3.049153860641845	0.0	0.0	0.6179057616268971	0.6149791626835056
8.0	9.0	0.004516852802043101	2.5	4.699988253210601E-4	1873.9826376701217	0.5283121455008049	0.0	0.0	0.09033705604086202	1.0738174174872206
8.0	16.0	0.035955388907123416	10.0	0.005893676171839355	25587.652238031384	3.474567536550326	0.0	0.0	0.7191077781424683	0.6883361546876663
9.0	9.0	0.004903594159190111	2.5	5.775342686543804E-4	2217.3557613416447	0.5634589270166226	0.0	0.0	0.09807188318380221	1.1320586717472716
9.0	16.0	0.04248153758326786	10.65	0.007608865660787596	32054.221496852126	4.00981643797255	0.0	0.0	0.8496307516653572	0.7190578361355284
10.0	9.0	0.005374785809857558	2.5	7.702354480479714E-4	2698.5950515847007	0.606696728135163	0.0	0.0	0.10749571619715116	1.1415806273308489
10.0	16.0	0.0503756493423407	10.85	0.009093190501842856	39484.0308546059	4.670948464084956	0.0	0.0	1.007512986846814	0.6361741527607182
11.0	9.0	0.005938237476030139	2.5	8.86476200738391E-4	3234.758009495402	0.6589876789605225	0.0	0.0	0.11876474952060277	1.0889182508271689
11.0	16.0	0.05981442987304597	10.75	0.011221669693391417	47604.56748225395	5.453346214115101	0.0	0.0	1.1962885974609194	0.6815484495491934
12.0	9.0	0.006657972307070449	2.5	0.0012698912521084756	4130.522575628114	0.7265379561329038	0.0	0.0	0.13315944614140898	1.080447809421386
12.0	16.0	0.07163381618117205	11.9	0.013092686552227596	59248.29530969243	6.43831901811529	0.0	0.0	1.432676323623441	0.7096468514324163
13.0	9.0	0.007564965331710444	2.5	0.0015606024711821178	5214.23065789843	0.8125203059488447	0.0	0.0	0.15129930663420887	1.1035673710514977
13.0	16.0	0.08522306584298382	12.05	0.015384341828347844	70249.40036639206	7.619279994094811	0.0	0.0	1.7044613168596765	0.6286382995383394
14.0	9.0	0.008626611867143846	2.5	0.0017437909943499857	6145.973717772595	0.9141622033635896	0.0	0.0	0.1725322373428769	1.1154979344454439
14.0	16.0	0.10037489738800127	12.15	0.018059820033389344	82015.6471991575	8.96450227348341	0.0	0.0	2.0074979477600254	0.6544056786901008
15.0	9.0	0.009878046606586414	2.5	0.002151638058427256	7294.776705665805	1.0351411400458208	0.0	0.0	0.1975609321317283	1.1261000525161537
15.0	16.0	0.11819517519786013	12.35	0.02099869337163459	93946.8382417853	10.525549325946166	0.0	0.0	2.3639035039572027	0.6792782730839891
16.0	9.0	0.011321963132188344	2.5	0.0025484625638935664	8482.038846657819	1.175997203629031	0.0	0.0	0.2264392626437669	1.1069279792977855
16.0	16.0	0.13857987470508754	12.55	0.02503402151526133	107782.7484672121	12.324026989199998	0.0	0.0	2.771597494101751	0.7047538770613219
17.0	9.0	0.012994687458865608	2.5	0.002859667224536732	9896.001940456841	1.3405475164324048	0.0	0.0	0.25989374917731217	1.122893196903678
17.0	16.0	0.1604217906871846	12.8	0.029433128458214143	123838.81883318708	14.371914137380154	0.0	0.0	3.2084358137436917	0.6527849289301166
18.0	9.0	0.014971569377821925	2.5	0.003239776857075467	11769.176820322278	1.5366356934092855	0.0	0.0	0.2994313875564385	1.1014407847409253
18.0	16.0	0.1860049512959212	13.8	0.034322380651188346	146188.16020098867	16.797882111170736	0.0	0.0	3.720099025918424	0.673991767013152
19.0	9.0	0.017122313094886564	2.5	0.003699124826102097	13458.34053703105	1.7557615992921018	0.0	0.0	0.34244626189773125	1.1126519800651022
19.0	16.0	0.2164092199293992	13.7	0.04036686573604167	171155.27284462986	19.667686017723614	0.0	0.0	4.328184398587984	0.7006157327985899
20.0	9.0	0.019772888387258297	2.5	0.004407637688460163	16604.30675232021	2.027937850187878	0.0	0.0	0.39545776774516594	1.0892735653318577
20.0	16.0	0.2519310301409534	13.85	0.04772297771758757	204445.99944062927	23.064238486964232	0.0	0.0	5.038620602819068	0.6707807404225741
21.0	9.0	0.022825505975114867	2.5	0.0049051049263150286	19241.694824802864	2.343993616470058	0.0	0.0	0.45651011950229736	1.0822815561382007
21.0	16.0	0.2912513729819822	13.7	0.05653370576997206	234184.96579942573	26.954840822989404	0.0	0.0	5.825027459639644	0.694480595470585
22.0	9.0	0.026282332975819427	2.5	0.005448536303219984	21888.301124487352	2.7044658461282625	0.0	0.0	0.5256466595163886	1.0848702425736845
22.0	16.0	0.3364465788759149	13.65	0.06609235638613045	265845.60462313215	31.4059007358859	0.0	0.0	6.728931577518298	0.712193686899728
23.0	9.0	0.03010285181721432	2.5	0.005966020978488643	25251.545973381548	3.118321237211055	0.009618071085262829	0.003667418976117611	0.6020570363442864	1.077545222223518
23.0	16.0	0.38721348249844684	14.7	0.07748508311682031	315684.0696184691	36.70408414711572	0.0	0.0	7.7442696499689365	0.7378886638311714
24.0	9.0	0.03401595981421246	2.5	0.0068712074516152225	29159.985921799427	3.5852156209458763	0.0478679227898352	0.01567609332959976	0.6803191962842492	1.0743381734818604
24.0	16.0	0.4411628353313712	15.5	0.09025180932687173	365229.58692323894	43.09583743052541	0.0	0.0	8.823256706627424	0.7130873746268708
25.0	9.0	0.03847140397831685	2.5	0.007572490192150998	34739.79571002984	4.157637499344951	0.1389303607244035	0.03873302312991622	0.7694280795663371	1.0923458043164305
25.0	16.0	0.4983093553298068	14.3	0.10363776718348973	438980.1906187185	51.091705244516795	0.0	0.0	9.966187106596136	0.7225547413654769
26.0	9.0	0.04281715613210128	2.5	0.008658396437625235	40617.315089775024	4.814735983222026	0.3059910567714553	0.07280975560578182	0.8563431226420257	1.0682008396075915
26.0	16.0	0.5585854007234282	16.5	0.11692591937358816	509819.77838483604	60.67783257114955	0.0	0.0	11.171708014468564	0.7379146934508286
27.0	9.0	0.04755203602278994	2.5	0.01019605636000903	47674.343349837276	5.598069283605016	0.554641836345074	0.11225900770714334	0.9510407204557989	1.051523767656252
27.0	16.0	0.618406624260051	15.7	0.12933887566487118	568851.3629900581	71.67682595313951	0.0	0.0	12.36813248520102	0.7135115391734616
28.0	9.0	0.052563458637414774	2.5	0.011245606544628247	53755.63149070831	6.492629705682487	0.8839929505243956	0.15275146574455079	1.0512691727482955	1.0512196848599182
28.0	16.0	0.6754722974335821	15.9	0.14202767164296554	608351.9317952573	83.73290443605018	0.0	0.0	13.50944594867164	0.7247510647243045
29.0	9.0	0.05761515524748738	2.5	0.012552136961760833	60038.983154483176	7.4895721293804005	1.3001650910125226	0.1931170951101425	1.1523031049497476	1.0661344148841243
29.0	16.0	0.7370490982892897	16.95	0.15336876153679044	658947.1415527781	96.67857742883058	0.0	0.0	14.740981965785792	0.718812062355618
30.0	9.0	0.06274048675809482	2.5	0.013756192831503474	65929.55410797815	8.586300678265602	1.8031052208738612	0.23192674246809009	1.2548097351618963	1.054324531601335
30.0	16.0	0.8002276890935578	16.7	0.16379458753960385	696181.1880707091	110.33874893046382	0.0	0.0	16.004553781871156	0.7194183856107231
31.0	9.0	0.06788856371582395	2.5	0.01475561167073583	71814.63168944883	9.78008023059796	2.3953368845872203	0.268834660116614	1.3577712743164791	1.0587358668122204
31.0	16.0	0.864038200445987	16.55	0.1744147327061331	744958.5260899665	125.23639724438257	0.0	0.0	17.28076400891974	0.6987185823655667
32.0	9.0	0.07298096635549867	2.5	0.015797433163575545	78293.90422939685	11.07523588921753	3.085511114823109	0.30419852620062965	1.4596193271099733	1.0420115474780456
32.0	16.0	0.9258405434811424	16.85	0.1848513886527703	791580.3203025032	141.34083227051013	0.0	0.0	18.516810869622848	0.6943974397579974
33.0	9.0	0.07800700967374632	2.5	0.017495345848282398	85231.89667538037	12.47875643506413	3.881114343737613	0.33807727178321906	1.5601401934749264	1.0395514575728375
33.0	16.0	0.9902900621965911	18.3	0.19327436802319012	835412.5510476605	158.03751833776005	0.0	0.0	19.80580124393182	0.691046738150036
34.0	9.0	0.08297022169382987	2.5	0.018570393318688434	90591.3659338335	13.970748254495623	4.770004394906314	0.369711434477259	1.6594044338765972	1.046348103942047
34.0	16.0	1.0569863373496797	18.25	0.20163074300438302	857307.3170970103	175.00529947615146	0.0	0.0	21.139726746993595	0.6704946033201385
35.0	9.0	0.08777706293032694	2.5	0.019755798373968746	95408.5982428253	15.539474411078393	5.749078940924498	0.39930925928179156	1.7555412586065389	1.0402657845632637
35.0	16.0	1.123735723424226	17.7	0.2109726106364125	878865.0908354875	192.4096894029671	0.0	0.0	22.47471446848452	0.6635399792554321
36.0	9.0	0.0926683182246384	2.5	0.021234810863821958	106966.37709653866	17.299068410726402	6.898369788191504	0.4291317311867002	1.853366364492768	1.0286400802149793
36.0	16.0	1.1856284216747368	18.05	0.21953721764324813	960660.6531534202	211.69542602876453	0.0	0.0	23.712568433494734	0.6615313568246978
37.0	9.0	0.09717346996534837	2.5	0.02193588501336166	113071.51693224632	19.14560464157644	8.161327625123137	0.45759827027106004	1.9434693993069674	1.02803316640869
37.0	16.0	1.2518124958909893	18.1	0.22696008378533447	998168.3256146396	231.25754709264385	0.59115032635789	0.0052892441522145875	25.036249917819788	0.6559169090572969
38.0	9.0	0.10160168023686836	2.5	0.02321546495825584	121274.43247398129	21.130282389308586	9.567372520426801	0.4849955886137271	2.032033604737367	1.0235246357713528
38.0	16.0	1.321904333080182	19.0	0.23455449390837677	1062710.3089146807	251.7795305052335	1.9881951698821898	0.01660657386480541	26.43808666160364	0.6388848069170666
