time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
4	65.66222109764925	5	1	3	1	16	0	65.66222109764925	4.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	65.66222109764925	6	1	3	2	16	0	65.66222109764925	4.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	81.9711865003326	1	1	1	1	16	0	81.9711865003326	5.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	81.9711865003326	2	1	1	2	16	0	81.9711865003326	5.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	81.9711865003326	3	1	2	1	16	0	81.9711865003326	5.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	81.9711865003326	4	1	2	2	16	0	81.9711865003326	5.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	81.9711865003326	5	1	3	1	16	0	81.9711865003326	5.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	81.9711865003326	6	1	3	2	16	0	81.9711865003326	5.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	98.2366671256838	1	1	1	1	16	0	98.2366671256838	6.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	98.2366671256838	2	1	1	2	16	0	98.2366671256838	6.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	98.2366671256838	3	1	2	1	16	0	98.2366671256838	6.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	98.2366671256838	4	1	2	2	16	0	98.2366671256838	6.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	98.2366671256838	5	1	3	1	16	0	98.2366671256838	6.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	98.2366671256838	6	1	3	2	16	0	98.2366671256838	6.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	114.45826893701484	1	1	1	1	16	0	114.45826893701484	7.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	114.45826893701484	2	1	1	2	16	0	114.45826893701484	7.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	114.45826893701484	3	1	2	1	16	0	114.45826893701484	7.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	114.45826893701484	4	1	2	2	16	0	114.45826893701484	7.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	114.45826893701484	5	1	3	1	16	0	114.45826893701484	7.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	114.45826893701484	6	1	3	2	16	0	114.45826893701484	7.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	130.63561519318063	1	1	1	1	16	0	130.63561519318063	8.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	130.63561519318063	2	1	1	2	16	0	130.63561519318063	8.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	130.63561519318063	3	1	2	1	16	0	130.63561519318063	8.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
