time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
23	367.7811704344041	1	1	1	1	16	0	367.7811704344041	23.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	367.7811704344041	2	1	1	2	16	0	367.7811704344041	23.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	367.7811704344041	3	1	2	1	16	0	367.7811704344041	23.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	367.7811704344041	4	1	2	2	16	0	367.7811704344041	23.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	367.7811704344041	5	1	3	1	16	0	367.7811704344041	23.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	367.7811704344041	6	1	3	2	16	0	367.7811704344041	23.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	383.2130527284918	1	1	1	1	16	0	383.2130527284918	24.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	383.2130527284918	2	1	1	2	16	0	383.2130527284918	24.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	383.2130527284918	3	1	2	1	16	0	383.2130527284918	24.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	383.2130527284918	4	1	2	2	16	0	383.2130527284918	24.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	383.2130527284918	5	1	3	1	16	0	383.2130527284918	24.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	383.2130527284918	6	1	3	2	16	0	383.2130527284918	24.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25	398.59685305628886	1	1	1	1	16	0	398.59685305628886	25.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25	398.59685305628886	2	1	1	2	16	0	398.59685305628886	25.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25	398.59685305628886	3	1	2	1	16	0	398.59685305628886	25.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25	398.59685305628886	4	1	2	2	16	0	398.59685305628886	25.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25	398.59685305628886	5	1	3	1	16	0	398.59685305628886	25.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25	398.59685305628886	6	1	3	2	16	0	398.59685305628886	25.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26	413.93249250373583	1	1	1	1	16	0	413.93249250373583	26.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26	413.93249250373583	2	1	1	2	16	0	413.93249250373583	26.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26	413.93249250373583	3	1	2	1	16	0	413.93249250373583	26.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26	413.93249250373583	4	1	2	2	16	0	413.93249250373583	26.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26	413.93249250373583	5	1	3	1	16	0	413.93249250373583	26.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26	413.93249250373583	6	1	3	2	16	0	413.93249250373583	26.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
27	15.287415129732725	1	1	1	1	16	0	15.287415129732725	1.0	0	0.0	0.0	0.0	1.2	294.729425679533	0.0	0.0	0.0	4.29111485737703	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
27	15.287415129732725	2	1	1	2	16	0	15.287415129732725	1.0	0	0.0	0.0	0.0	1.2	294.729425679533	0.0	0.0	0.0	4.29111485737703	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
27	15.287415129732725	3	1	2	1	16	0	15.287415129732725	1.0	0	0.0	0.0	0.0	1.2	294.729425679533	0.0	0.0	0.0	4.29111485737703	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
27	15.287415129732725	4	1	2	2	16	0	15.287415129732725	1.0	0	0.0	0.0	0.0	1.2	294.729425679533	0.0	0.0	0.0	4.29111485737703	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
27	15.287415129732725	5	1	3	1	16	0	15.287415129732725	1.0	0	0.0	0.0	0.0	1.2	294.729425679533	0.0	0.0	0.0	4.29111485737703	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
27	15.287415129732725	6	1	3	2	16	0	15.287415129732725	1.0	0	0.0	0.0	0.0	1.2	294.729425679533	0.0	0.0	0.0	4.29111485737703	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
28	30.526557837753476	1	1	1	1	16	0	30.526557837753476	2.0	0	0.0016748193515208818	0.0	0.0	1.2	225.9686767083491	0.0	83.74096757604408	35.43144934981273	12.759803305951856	9.339675077143895	119.17241692585682	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
28	30.526557837753476	2	1	1	2	16	0	30.526557837753476	2.0	0	0.0016748193515208818	0.0	0.0	1.2	225.9686767083491	0.0	83.74096757604408	35.43144934981273	12.759803305951856	9.339675077143895	119.17241692585682	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
28	30.526557837753476	3	1	2	1	16	0	30.526557837753476	2.0	0	0.0016748193515208818	0.0	0.0	1.2	225.9686767083491	0.0	83.74096757604408	35.43144934981273	12.759803305951856	9.339675077143895	119.17241692585682	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
28	30.526557837753476	4	1	2	2	16	0	30.526557837753476	2.0	0	0.0016748193515208818	0.0	0.0	1.2	225.9686767083491	0.0	83.74096757604408	35.43144934981273	12.759803305951856	9.339675077143895	119.17241692585682	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
28	30.526557837753476	5	1	3	1	16	0	30.526557837753476	2.0	0	0.0016748193515208818	0.0	0.0	1.2	225.9686767083491	0.0	83.74096757604408	35.43144934981273	12.759803305951856	9.339675077143895	119.17241692585682	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
28	30.526557837753476	6	1	3	2	16	0	30.526557837753476	2.0	0	0.0016748193515208818	0.0	0.0	1.2	225.9686767083491	0.0	83.74096757604408	35.43144934981273	12.759803305951856	9.339675077143895	119.17241692585682	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
29	45.717395205919445	1	1	1	1	16	0	45.717395205919445	3.0	0	0.0029770720557291356	0.004582076963084138	0.045485790497094135	0.3948663133382972	226.45644802583598	0.0	148.85360278645678	59.608072895111185	17.99477234426804	11.584568656572655	208.46167568156795	-2.5431449349812735E-4	0.0	0.0	0.032592590898275375	0.003936208629884903	3.5431449349812734E-4	0.0	0.0	
