time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
4	49.18360422296499	2	1	1	2	16	0	49.18360422296499	3.0	0	0.003041846204471709	0.005163128170765191	0.051708027337466766	0.5399759609370516	231.9836831422139	0.0	152.09231022358546	60.63644986586759	19.25492305276086	11.04801922638434	212.72876008945303	-3.044943618591231E-4	0.0	0.0	0.032592590898275375	0.0043935561366461205	4.044943618591231E-4	0.0	0.0	
4	49.18360422296499	3	1	2	1	16	0	49.18360422296499	3.0	0	0.003006043048812447	0.0045822985842607685	0.04589109792102558	0.5689142648225916	229.39898310086997	0.0	150.30215244062236	59.987038749473335	19.109791910774316	11.004263791670713	210.2891911900957	-3.044943618591231E-4	0.0	0.0	0.032592590898275375	0.0043935561366461205	4.044943618591231E-4	0.0	0.0	
4	49.18360422296499	4	1	2	2	16	0	49.18360422296499	3.0	0	0.003034435717811883	0.005011932247871778	0.05019382070619355	0.5964789176158599	231.4487055732444	0.0	151.72178589059416	60.50203566895762	19.224884013692574	11.039017005689043	212.22382155955177	-3.044943618591231E-4	0.0	0.0	0.032592590898275375	0.0043935561366461205	4.044943618591231E-4	0.0	0.0	
4	49.18360422296499	5	1	3	1	16	0	49.18360422296499	3.0	0	0.0030399980047977424	0.0051112439309255915	0.0511884137227592	0.46438309274735323	231.85025798217555	0.0	151.99990023988713	60.60292652437744	19.24743121791103	11.045776673119025	212.60282676426456	-3.044943618591231E-4	0.0	0.0	0.032592590898275375	0.0043935561366461205	4.044943618591231E-4	0.0	0.0	
4	49.18360422296499	6	1	3	2	16	0	49.18360422296499	3.0	0	0.003044715933051656	0.005170659237007687	0.051783449942962446	0.6599469262742248	232.1908544778868	0.0	152.2357966525828	60.68850208323602	19.266555742067993	11.051497817583684	212.9242987358188	-3.044943618591231E-4	0.0	0.0	0.032592590898275375	0.0043935561366461205	4.044943618591231E-4	0.0	0.0	
5	65.49256962564834	1	1	1	1	16	0	65.49256962564834	4.0	0	0.0036466740353310175	0.008722018597656731	0.13777511300056322	0.7185344126915352	273.524618510297	0.0	182.3337017665509	69.60282672275557	21.588090020990492	11.670162957646738	251.93652848930645	-5.053528967288608E-4	0.0	0.0	0.032592590898275375	0.0038883798231319888	6.053528967288608E-4	0.0	0.0	
5	65.49256962564834	2	1	1	2	16	0	65.49256962564834	4.0	0	0.0036731090081287636	0.008913656895798757	0.14095784886740131	0.7326478945585619	275.36047488676513	0.0	183.65545040643818	70.01382909908457	21.691195381242437	11.69457353765226	253.66927950552275	-5.06364498658676E-4	0.0	0.0	0.032592590898275375	0.003933883344383102	6.06364498658676E-4	0.0	0.0	
5	65.49256962564834	3	1	2	1	16	0	65.49256962564834	4.0	0	0.003582093767098536	0.008124736117400631	0.12724168802480146	0.7758199193031221	268.98191416640714	0.0	179.10468835492682	68.54424505347467	21.332980758005633	11.60873561072642	247.6489334084015	-4.998703874947333E-4	0.0	0.0	0.032592590898275375	0.0036968452135727504	5.998703874947333E-4	0.0	0.0	
5	65.49256962564834	4	1	2	2	16	0	65.49256962564834	4.0	0	0.0036611260548986098	0.00969404761847133	0.1472574647263085	0.7900648398139831	274.5113034051637	0.0	183.0563027449305	69.81149112650975	21.64350953372344	11.683308267424879	252.86779387144026	-5.050203566895762E-4	0.0	0.0	0.032592590898275375	0.003877266946885843	6.050203566895763E-4	0.0	0.0	
5	65.49256962564834	5	1	3	1	16	0	65.49256962564834	4.0	0	0.003673416895632149	0.009841987300866752	0.1497333342161934	0.6791906038364187	275.37520378226964	0.0	183.67084478160746	70.01233433112161	21.692024669540597	11.694767223317088	253.68317911272908	-5.060292652437745E-4	0.0	0.0	0.032592590898275375	0.003916452827480392	6.060292652437744E-4	0.0	0.0	
5	65.49256962564834	6	1	3	2	16	0	65.49256962564834	4.0	0	0.00368106063067483	0.00930453203637247	0.14494698914730453	0.7942472062530702	275.91684509010344	0.0	184.0530315337415	70.14137261210234	21.722440944259553	11.70192635340174	254.19440414584383	-5.068850208323602E-4	0.0	0.0	0.032592590898275375	0.0039440239738776865	6.068850208323602E-4	0.0	0.0	
6	81.75805025099953	1	1	1	1	16	0	81.75805025099953	5.0	0	0.0044252323539672135	0.01283290921724932	0.2662384370757866	0.8082499481321345	327.74508811416797	0.0	221.85944662584552	81.63427018533002	24.251371302992375	12.514497139950493	303.49371681117555	-5.960282672275556E-4	0.0	0.0	0.07597794383764267	0.004694040025602225	6.960282672275556E-4	0.0	0.0	
6	81.75805025099953	2	1	1	2	16	0	81.75805025099953	5.0	0	0.004457553298667337	0.011774242961754	0.25882343676567154	0.8515766618764967	329.990856186373	0.0	223.48001350207238	82.13623137164237	24.37461131265819	12.538302291409364	305.6162448737148	-6.001382909908458E-4	0.0	0.0	0.07597794383764267	0.004771433800967669	7.001382909908458E-4	0.0	0.0	
6	81.75805025099953	3	1	2	1	16	0	81.75805025099953	5.0	0	0.004325866526785804	0.012726221641930605	0.2546370203975241	0.906851514122709	320.77984290661124	0.0	216.86444459796502	80.03813021657426	23.877268092071876	12.434528676801252	296.90257481453926	-5.854424505347467E-4	0.0	0.0	0.07597794383764267	0.004497809835103917	6.854424505347467E-4	0.0	0.0	
6	81.75805025099953	4	1	2	2	16	0	81.75805025099953	5.0	0	0.004483957334694436	0.01354698283597631	0.28286899418062017	0.8982579002830919	331.81503689225156	0.0	224.8296913902762	82.52710636705187	24.458239134923534	12.566595496176099	307.3567977573281	-5.981149112650974E-4	0.0	0.0	0.07597794383764267	0.004962383469171994	6.981149112650975E-4	0.0	0.0	
6	81.75805025099953	5	1	3	1	16	0	81.75805025099953	5.0	0	0.00450449856533559	0.014213300820050434	0.29201501318034556	0.7862640242929005	333.25351210145175	0.0	225.8630881211645	82.85544689247014	24.53497708781708	12.582792880085053	308.71853501363466	-6.001233433112161E-4	0.0	0.0	0.07597794383764267	0.005009699103519987	7.00123343311216E-4	0.0	0.0	
