time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
1	20.478616874684274	1	1	1	1	9	0	20.478616874684274	1.0	0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	20.478616874684274	2	1	1	2	9	0	20.478616874684274	1.0	0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	3	2	1	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	4	2	1	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	20.478616874684274	5	3	1	1	9	0	20.478616874684274	1.0	0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	20.478616874684274	6	3	1	2	9	0	20.478616874684274	1.0	0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	7	4	1	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	8	4	1	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	20.478616874684274	9	5	1	1	9	0	20.478616874684274	1.0	0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	20.478616874684274	10	5	1	2	9	0	20.478616874684274	1.0	0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	11	6	1	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	12	6	1	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
