time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
2	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
3	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
4	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
5	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
6	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
7	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
8	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
9	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
10	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
11	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
12	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
13	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
14	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
15	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
16	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
17	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
18	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
19	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
20	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
21	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
22	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
23	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
24	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
25	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
26	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
27	16	0.0	9.999999999999998	0.0	0.0	2.9472942567953297	0.0	NaN	0.0	1.2	
28	16	0.008457669868558015	9.999999999999998	0.0	0.0	1.939962815063253	0.0	0.0	0.00507460192113481	1.2	
29	16	0.009249336662481893	9.999999999999998	0.0023703459818769303	9949.84143342123	2.1003084239002545	0.0	0.0	0.005549601997489136	0.34001362900280147	
30	16	0.009900676811810167	9.999999999999998	0.002717584304579058	7486.410569078115	2.216642011532029	0.0	0.0	0.005940406087086101	0.38854916097587205	
31	16	0.010590648552392666	9.999999999999998	0.003420469263581921	8209.483376043487	2.344794125408746	0.0	0.0	0.0063543891314356005	0.46872204432920633	
32	16	0.011484497634390134	9.999999999999998	0.0038047349637578597	9569.261366827168	2.495781675687103	0.0	0.0	0.006890698580634081	0.2884394895923364	
33	16	0.012702522654236683	9.999999999999998	0.004650472447235752	10640.508607446998	2.6644224318366203	0.0	0.0	0.007621513592542011	0.34022379563348637	
34	16	0.014502712727268458	9.999999999999998	0.005368892260668717	12414.484912080328	2.8628446864938355	0.0	0.0	0.008701627636361077	0.39743335673672303	
35	16	0.01691523252795871	11.666666666666664	0.006408398328691368	14428.511284183187	3.095031533584653	0.0	0.0	0.010149139516775228	0.454389620792744	
36	16	0.0197215969664565	11.666666666666664	0.007608362382480238	17163.40138973072	3.373318854184731	0.0	0.0	0.011832958179873902	0.3526709689654983	
37	16	0.023125097234765104	9.999999999999998	0.008970063724058817	20009.934249968275	3.699342005369437	0.0	0.0	0.013875058340859064	0.3765069557987548	
