time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	9	0.0	10.0	0.0	0.0	2.7163678100497046	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	9	0.0019020324432335457	10.0	0.0	0.0	2.5591522191494214	0.0	0.0	0.019020324432335457	1.200000000000002	0.011327813069025671	0.011327813069025677	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	9	0.006185569747984518	10.0	5.426586770540046E-4	1747.4394165399196	2.3268661252024967	0.0	0.0	0.061855697479845186	1.206613582499949	0.010945962235592127	0.015010969603762908	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	9	0.011673076158372262	10.0	0.0015576300481878525	4588.512021776214	2.1282851674930896	0.0	0.0	0.11673076158372263	1.1774005873375004	0.009830503545649062	0.01598098406604692	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	9	0.017074574832985627	10.0	0.0028987893957719765	8018.415320227582	2.0665049013844827	0.0	0.0	0.17074574832985628	1.1241672400723564	0.008858304643617181	0.01660763194748	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	9	0.02081088697625054	10.0	0.0043188891674380255	11093.998211126978	2.1872402164217055	0.0	0.0	0.2081088697625054	1.0643995138057627	0.008382757482736009	0.017369713853387272	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	9	0.023777255261942704	10.0	0.005385479263453629	13157.324199230154	2.401821035135971	0.0	0.0	0.23777255261942704	1.0414934495890866	0.008002227721445009	0.01814218420608371	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	9	0.027397066816665445	10.0	0.006837751669699053	15868.081086758524	2.662200258384219	0.0	0.0	0.27397066816665444	1.041982286448421	0.007852381245733418	0.018923751571599177	
9	16	0.0	10.0	0.0	0.0	3.7222859577172294	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	9	0.03187080124059245	10.0	0.008575963269199894	19760.01241552555	2.9886550322220593	0.0	0.0	0.31870801240592456	1.0494828702132544	0.0076957244382592415	0.019738044516713012	
10	16	0.004167996767214877	10.0	0.0	0.0	3.4267372549964215	0.0	0.0	0.04167996767214877	1.200000000000002	0.025818909385374636	0.025818909385374615	
11	9	0.037509699485299454	10.0	0.011595651520095009	25358.083180492784	3.4104750658914407	0.0	0.0	0.3750969948529945	1.0503630071525505	0.007830880029101088	0.020613721480556565	
11	16	0.015433811539289338	10.0	6.91954696412448E-4	3355.8070042226077	2.8513499028683955	0.0	0.0	0.15433811539289338	0.7836756517608547	0.03148500735738446	0.04014637587325914	
12	9	0.04480301195733766	10.0	0.015310261263186636	33440.01955005452	3.9703070708654273	0.0	0.0	0.4480301195733766	1.0367700580321924	0.008162469453534642	0.02156398459976795	
12	16	0.023967812323964895	10.0	0.0025862372196572146	9761.354031546423	2.625679946030842	0.0	0.0	0.23967812323964893	0.290578694294714	0.04010933563113216	0.04326255725962776	
13	9	0.0540422101658781	10.0	0.019929545680780585	43301.30981218331	4.698232459018697	0.0	0.0	0.540422101658781	1.035526194488224	0.008664073888707905	0.022527921725721923	
13	16	0.026251594938452007	10.0	0.004071704856987763	13099.684162562404	2.8363046402319334	0.0	0.0	0.26251594938452005	0.3932085216229212	0.034680499012418174	0.046288104993956435	
14	9	0.06526380560811729	10.0	0.024986520417410743	53831.091577619314	5.604770068875671	0.0	0.0	0.6526380560811729	1.0374005657184133	0.009090171260803607	0.023506716185925054	
14	16	0.028948565155783985	10.0	0.00451879359396469	14663.988407153864	3.0727740407942337	0.0	0.0	0.28948565155783984	0.3574648940285651	0.02983241555159027	0.048691731478486745	
15	9	0.07868626495274643	10.0	0.030382815818251734	65944.95576569352	6.716324808058282	0.0	0.0	0.7868626495274643	1.0376901950743436	0.00965321599740224	0.024525607917823045	
15	16	0.03194493858627691	10.0	0.004727375647954326	15781.272956792624	3.327123519791671	0.0	0.0	0.3194493858627691	0.2542841143208867	0.03217514450550965	0.05201026265110289	
16	9	0.0943662266266951	10.0	0.036652185142973776	78906.96903424243	8.046298009500449	0.0	0.0	0.9436622662669509	1.0308086684567561	0.01029424066435021	0.025609565131804523	
16	16	0.03520607468750615	10.7	0.005130470034055982	16665.244487751585	3.595166538579188	0.0	0.0	0.3520607468750615	0.27670224518460546	0.03000823136962911	0.05511553691966194	
17	9	0.1128358733125725	10.0	0.043435185625811584	94957.73241133314	9.647049893455904	0.0	0.0	1.128358733125725	1.0288610074908056	0.010954525186922217	0.026855065542108873	
