time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
63	16	0.4698834730242904	37.1	0.10606545084030375	295162.0844833128	57.487915665901696	6.453711811606505	0.13431276708824122	4.698834730242904	0.5687921929804102	0.03381064558589004	0.07448811084032059	
64	16	0.4989338501744622	40.3	0.11130978547402438	303102.4528797119	62.34878802720671	8.125932276881056	0.15527451427916886	4.989338501744622	0.5772756771282055	0.033626591612975945	0.07586289197206497	
65	16	0.5294315094126738	40.8	0.11780485296207006	318722.5152035003	67.45620495637185	9.910737647183083	0.174252881941878	5.294315094126738	0.5773003231434878	0.0334542423067496	0.07684739040476936	
66	16	0.5611348735888696	43.1	0.1238628748019909	337764.6594814769	72.87517196113075	11.841339773512752	0.1918272228134833	5.611348735888696	0.5700946757716744	0.034077531475639175	0.07691234882388796	
67	16	0.5944225767379593	43.3	0.1288214507201099	355711.36849119456	78.56933854375647	13.806596227822578	0.2065010628228852	5.944225767379593	0.5744640609204894	0.033689888592851706	0.07691234882388796	
68	16	0.6299734613183537	47.8	0.13516764985437313	373846.15549827745	84.53355801678993	15.832328494821017	0.21912543801517398	6.299734613183538	0.5654639761549597	0.033467219888191346	0.07748655442680631	
69	16	0.6690087252458721	48.7	0.1409644564038405	394585.7185305022	90.83155093524718	17.984189114568597	0.23075221819971023	6.690087252458721	0.5629408326744595	0.033999269829872246	0.07772167878491539	
70	16	0.710609748800212	51.6	0.1479836852138064	409115.6419337409	97.30520741767924	20.2004110009238	0.24111006134276974	7.10609748800212	0.5693961791112818	0.033744083562672576	0.07772167878491539	
71	16	0.755178019548383	55.2	0.15379135037757669	429647.6278268965	104.12674912386406	22.512016397508564	0.250270438735249	7.551780195483831	0.5629102832670076	0.033289932844279516	0.0795674217598779	
72	16	0.8009356431617978	54.5	0.16079341260602045	449167.25852181326	111.18657544919097	24.85966950038111	0.25798893690003166	8.009356431617977	0.5589914766053142	0.03382124107198549	0.08083939020122802	
