time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
19	9	0.11241629858764919	10.0	0.04546808243333798	80192.65042035267	9.185473124728457	0.0	0.0	1.1241629858764919	1.0188868094241883	0.011142734670122723	0.027866223279167626	
19	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
20	9	0.13099819439720992	10.0	0.05232036173793595	94124.86152099902	10.764040841246302	0.0	0.0	1.3099819439720992	1.0158192310005056	0.011857698497593142	0.028964760256748576	
20	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
21	9	0.15245896320858404	10.0	0.060395551638052505	110658.71613517536	12.62013299675822	0.0	0.0	1.5245896320858403	1.0176356390447754	0.012422603817935312	0.03007581713152867	
21	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
22	9	0.17718971729298388	10.0	0.06989339975503055	129689.39132128055	14.795395785795671	0.0	0.0	1.7718971729298387	1.0080782875701493	0.013083071051943573	0.031198628392874028	
22	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
23	9	0.20585477460745422	10.0	0.08092552222792779	152800.71922717814	17.35879800402818	0.0	0.0	2.058547746074542	1.0044945776031349	0.014084660621806617	0.03231122213251451	
23	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
24	9	0.23807121690680488	10.0	0.09323012315842229	174702.4882422869	20.286646552852112	0.0	0.0	2.380712169068049	0.9906632234632863	0.014558894208714921	0.03345785772099215	
24	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
25	9	0.27438815061023275	10.0	0.10698153892091196	201707.2480924869	23.649043194811473	0.0	0.0	2.7438815061023276	0.9823068820995715	0.015163744070758755	0.03463637010723937	
25	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
26	9	0.3158774914386654	10.0	0.12081047195438531	233618.33190478352	27.54766427358216	0.0	0.0	3.158774914386654	0.9706976354900874	0.016243968045119375	0.035820878019519886	
26	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
27	9	0.3628416416619432	10.0	0.1387965268241972	267208.5722669818	32.01911370681846	0.0	0.0	3.628416416619432	0.9520827360369012	0.017129493715954854	0.036937293468737135	
27	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
28	9	0.41375731148128414	10.0	0.15583460022442386	303536.740756062	37.09358720977117	0.1567913185376008	0.004692960291559954	4.137573114812842	0.9384533918511958	0.01852516434708962	0.03799962646820966	
28	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
29	9	0.46667493849896874	10.0	0.1752356575880323	340195.73157245945	42.77279078269056	0.6512404179851143	0.016809779453531716	4.6667493849896875	0.9213666225657954	0.01967305036593207	0.03890050392524869	
29	16	0.0	10.0	0.0	0.0	3.7183252355187895	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
30	9	0.5224142257210564	10.0	0.19566340615543434	387664.04307343345	49.241037791263565	1.5674356719746914	0.034955155334970116	5.2241422572105645	0.9028345502206868	0.021248143434126843	0.039637395564247585	
30	16	8.514359789247224E-4	10.0	0.0	0.0	3.5095364657333006	0.0	0.0	0.008514359789247224	1.200000000000002	0.010803806861596444	0.01080380686159645	
31	9	0.5799709345660692	10.0	0.2155575754599799	441824.9387247462	56.60965448395008	3.09234979903498	0.0596718306175888	5.799709345660692	0.8874189777208008	0.022748144770622775	0.04022219309619829	
31	16	0.003328673627303683	10.0	8.847633629775761E-5	258.22224535442143	3.060092955181902	0.0	0.0	0.03328673627303683	0.6329708725096205	0.01448199567385021	0.018281529524496624	
32	9	0.6378585605695027	10.0	0.23876626748108623	486602.46756300505	64.7090466305535	5.193920783811338	0.08725972995047392	6.378585605695028	0.8692538200073519	0.02420706678138099	0.04063252724853217	
32	16	0.006325198061339729	10.0	3.8651047754095834E-4	1306.2172339582798	2.6089736543407267	0.0	0.0	0.06325198061339729	0.06754088844223086	0.020493591430463986	0.023007760090487345	
33	9	0.6960593149519204	10.0	0.25965880610571396	533889.7967640911	73.57803535104932	7.893642935414448	0.1161257964925158	6.960593149519204	0.8495137664103402	0.025570437985475404	0.040855910263809504	
33	16	0.007752181175492682	10.0	7.501069525127227E-4	2063.08367322249	2.4392392384503037	0.0	0.0	0.07752181175492683	0.16254456536903933	0.018328450132873087	0.023467045809541433	
34	9	0.7545019152887672	10.0	0.2787275287721764	583212.1693221617	83.24690637552592	11.22276402546155	0.14536151511358625	7.545019152887672	0.831641615534096	0.02686389149468597	0.04095270645384695	
34	16	0.00784373430410806	10.0	7.715567485389096E-4	2014.9334240516303	2.4595720263591487	0.0	0.0	0.07843734304108059	0.12572475908682754	0.01538549950121141	0.023739106420959746	
35	9	0.8132156599524413	10.0	0.2994802349394899	634539.6135842525	93.74521920576767	15.214951323104387	0.17439974559985785	8.132156599524412	0.8142665538026475	0.028095116318087476	0.04192739725112915	
35	16	0.007926219844999732	10.0	7.609717023821257E-4	1794.3322967184915	2.4760388196466208	0.0	0.0	0.07926219844999731	0.06967123633313176	0.015609880514932154	0.02396940386721066	
36	9	0.8711893995612192	10.0	0.3181276725645475	677047.5324174479	104.91368370314449	19.831529485443276	0.20251055796581757	8.711893995612192	0.7967107012266104	0.0292505122408731	0.04280478054401922	
36	16	0.008021936478712927	11.0	7.674824961452155E-4	1872.0234303730285	2.493783504655237	0.0	0.0	0.08021936478712927	0.07961823734440338	0.013598734941262534	0.024164758090462004	
37	9	0.9297069610487837	10.0	0.3366391262731366	735737.6076337055	117.02981038079072	25.2185277323021	0.2302443343121595	9.297069610487837	0.7823795338877146	0.030359961405034077	0.04378214770672369	
37	16	0.008109825532251052	12.8	7.196437076425543E-4	1868.8595052463381	2.5111813659119973	0.0	0.0	0.08109825532251051	0.06733802434134742	0.012048422644511446	0.024357086845806668	
38	9	0.9867648714162909	10.0	0.3547122644194011	772979.0375951638	129.71341344535426	31.238264393155657	0.25672731767603785	9.86764871416291	0.7682758594293003	0.03139205814904294	0.04459750126389896	
38	16	0.006944924718921187	13.2	6.921399774990113E-4	1714.0810507349584	2.4550278976010533	0.0	0.0	0.06944924718921187	0.049663851640707746	0.011309448880228381	0.024555322847196037	
39	9	1.0424997119247943	10.0	0.3728675811810673	814066.1655996238	143.02769531746372	37.95138536826717	0.2823039587943367	10.424997119247942	0.7528048824883335	0.03235638990181802	0.04550648086211261	
39	16	0.005088345055406153	14.0	5.417314279621816E-4	1391.7753044381875	2.356592260744195	0.0	0.0	0.05088345055406153	0.03498040705652081	0.008406121022186292	0.024781905646835058	
40	9	1.0943294687633993	10.0	0.388167895137405	849135.3045418288	156.748341410278	45.32928673695133	0.3071620992065728	10.943294687633994	0.7401981680083567	0.03325239945313242	0.04652628711625642	
40	16	0.0038908315538050053	14.5	4.0536256081061153E-4	1052.9905623007508	2.2939191876675484	0.0	0.0	0.038908315538050055	0.029992715746299328	0.006221340081551399	0.024895346058266505	
41	9	1.1455460693547674	10.0	0.40315505056834305	884409.2750190593	171.0753711318328	53.39578280200717	0.33104061155375086	11.455460693547675	0.7269412512569008	0.03408429220275376	0.04743883130597134	
41	16	0.0028622544405812653	14.2	2.8321315198539295E-4	775.7891567987338	2.239173874686405	0.0	0.0	0.028622544405812654	0.014425236347638292	0.005078380077315819	0.025019565863268717	
42	9	1.1941818785371279	10.0	0.41499529541755237	905405.6590632958	185.7030653433021	62.02699745494122	0.3538245911614535	11.941818785371279	0.7147001175672869	0.034835532063750625	0.04845457626324074	
42	16	0.0022603768247075047	16.9	2.4435120233210785E-4	615.3293707457616	2.2082332704330327	0.0	0.0	0.022603768247075048	0.01260654628322356	0.0041262064478211615	0.025069756167275567	
43	9	1.23926833409067	10.0	0.4276496562817853	931639.1071033862	200.65296722644254	71.28612642162584	0.3759546063645231	12.3926833409067	0.7039663283826687	0.035521134135508385	0.049283720699011116	
43	16	0.0016629646493058336	17.2	1.7416872094268374E-4	468.91263175321757	2.1761475065188822	0.0	0.0	0.016629646493058335	0.008622455841018041	0.0030958986932223876	0.025077017822435925	
44	9	1.2809536142897946	10.0	0.4387897542128712	965521.9453639213	216.05386269362012	81.27607454149697	0.39773774376063353	12.809536142897946	0.6954014568649153	0.036149500670423135	0.050230078837450814	
44	16	0.0013660425659364887	16.2	1.4708584286694711E-4	379.5011848848811	2.161136412832423	0.0	0.0	0.013660425659364888	0.00606453811499788	0.0026837883839083603	0.025077017822435925	
45	9	1.3199676978510708	10.0	0.4478413657985527	985333.0171736965	231.74410272333233	91.84603913858128	0.4187206730335363	13.199676978510709	0.6853015547674872	0.03671136732194934	0.05108014625661514	
45	16	0.0011323099020742555	18.6	1.2777122056759974E-4	323.0012039488119	2.1493953472693366	0.0	0.0	0.011323099020742555	0.00468055736903459	0.002202273200317307	0.025077017822435925	
46	9	1.3563284716690585	10.0	0.4564964259395207	1011836.7567359842	247.81825194672328	103.06771135098889	0.4391228066129842	13.563284716690584	0.676899857746395	0.03720882822944386	0.05189731424930049	
46	16	9.215579829006514E-4	19.2	8.838962279827672E-5	240.8399349698027	2.138474711720656	0.0	0.0	0.009215579829006514	0.0031124236342558375	0.0017471886007711047	0.024810175278357098	
47	9	1.3864036995515459	10.0	0.4632324499214965	1019181.9314507775	263.7798740377626	114.71828708433853	0.45895885702130235	13.864036995515459	0.6708291987204728	0.03764741077235342	0.05268212626962101	
47	16	6.161900820745336E-4	19.9	5.117672229810009E-5	147.25766701413508	2.1213053306853658	0.0	0.0	0.006161900820745336	0.0016594691589984405	0.0012534209779582136	0.024810175278357098	
48	9	1.412702347775441	10.0	0.4708637815734111	1028945.7293006072	279.8094443441101	126.82579689159256	0.4781395176620165	14.12702347775441	0.6634779510631297	0.038043786723264146	0.05346035840464573	
