time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	9	0.0	10.0	0.0	0.0	2.7119810026648836	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	9	0.0021501236314813996	10.0	0.0	0.0	2.5454114753537658	0.0	0.0	0.021501236314813994	1.200000000000002	0.011327813069025675	0.011327813069025677	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	9	0.006417398835643444	10.0	7.177989723716021E-4	2247.0415613766336	2.3436345701300922	0.0	0.0	0.06417398835643444	1.2120249243843815	0.010964139158019586	0.015025723214242974	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	9	0.01104961576681077	10.0	0.001707467372446444	4961.9056566537465	2.191703303287794	0.0	0.0	0.11049615766810769	1.1648014971183958	0.009705232355093105	0.016070712430804386	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	9	0.016469246441690042	10.0	0.0026402613646440104	7288.343436330057	2.099223267452069	0.0	0.0	0.1646924644169004	1.1355358812275327	0.008821141306102316	0.01685197446860519	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	9	0.02072340409317211	10.0	0.0040212391123357494	10516.279986698686	2.1803205068271954	0.0	0.0	0.2072340409317211	1.1076861682898025	0.008558592890123933	0.01764741744480881	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	9	0.023655354375023672	10.0	0.005391843869541468	13074.461467352647	2.3935037806497963	0.0	0.0	0.2365535437502367	1.053821901889007	0.008050290607452347	0.018421040446150536	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	9	0.02722565113980576	10.0	0.006676523593153984	15689.71803274951	2.6508304914845002	0.0	0.0	0.2722565113980576	1.0448735929320043	0.0077637181973567	0.019264847916715285	
9	16	0.0	10.0	0.0	0.0	3.713707801772563	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	9	0.03167029417876175	10.0	0.008762682306565564	19645.155065761726	2.975360077295719	0.0	0.0	0.3167029417876175	1.0404669516251042	0.007729246929044964	0.020206014023107642	
10	16	9.923801826702105E-4	10.0	0.0	0.0	3.480247005991225	0.0	0.0	0.009923801826702106	1.200000000000002	0.011009220033884048	0.011009220033884048	
11	9	0.03735449091739959	10.0	0.011419716139232566	25572.813062374727	3.4010119163939088	0.0	0.0	0.3735449091739959	1.0530612072000585	0.007922812208177558	0.021201481713968167	
11	16	0.0036324142062702084	10.0	1.8699630855588498E-4	638.8418566725816	3.017906157232171	0.0	0.0	0.03632414206270208	0.6041991550751081	0.015156991846327305	0.018573620223573277	
12	9	0.04463298381452457	10.0	0.015445372511281192	33336.44399569811	3.95910251667201	0.0	0.0	0.4463298381452457	1.0647549654002264	0.008179662610736011	0.022217745290083045	
12	16	0.006608146968916856	10.0	6.713672775974335E-4	2515.556246735499	2.6073850649670036	0.0	0.0	0.06608146968916856	0.1537554442361391	0.02095368251736678	0.02327252445476396	
13	9	0.05388998663263296	10.0	0.01998192042366757	43330.29124418572	4.687608421121792	0.0	0.0	0.5388998663263296	1.0445874052036137	0.008596509237534059	0.023274667122784785	
13	16	0.007994618858315391	10.0	0.0012647296955525104	4180.374666347294	2.5028118924784954	0.0	0.0	0.07994618858315392	0.20327043768769965	0.01817345521112784	0.02400735127074378	
14	9	0.06552373258705503	10.0	0.025125750158042286	55713.60562788532	5.627025931569363	0.0	0.0	0.6552373258705503	1.039171835845866	0.009177407363935604	0.024397327911620047	
14	16	0.008279876770116414	10.0	0.0014046749683563138	4529.910108036847	2.5654355737387116	0.0	0.0	0.08279876770116414	0.1431132686824261	0.015907793764615354	0.024534474526132857	
15	9	0.07955380423447209	10.0	0.03057049558713272	68817.77491920054	6.788498221578867	0.0	0.0	0.7955380423447209	1.0521515897811404	0.009800765927391679	0.02554074514145945	
15	16	0.008590242302800219	10.0	0.0015151122493915247	4459.619909319058	2.6262961662386335	0.0	0.0	0.08590242302800219	0.11133668627246303	0.016470722657686555	0.025190559348889762	
16	9	0.09605420700594618	10.0	0.03721057123485203	82868.68911553931	8.187030250709252	0.0	0.0	0.9605420700594618	1.034228274547648	0.010431599017981314	0.026604541960884544	
16	16	0.008928765411226315	11.0	0.0015428094193363406	4611.473881268098	2.689248211252772	0.0	0.0	0.08928765411226315	0.12013543436748457	0.014341290386839189	0.02582162618637085	
17	9	0.11545351370176793	10.0	0.043851093830238205	99534.12415811865	9.8665918975242	0.0	0.0	1.1545351370176793	1.0376177917966292	0.011039633873339063	0.02774223100905325	
